advmean,advstd,curr_cr,curr_iter,curr_lr,elapsed_time,ev,expected_time,frac,opt_approxkl,opt_clipfrac,opt_ent,opt_pg_loss,opt_policy_loss,opt_vf_loss,retmean,retstd,rew_mean,vpredmean,vpredstd
1.4901161e-08,0.99999917,0.1,41,0.0001,3.431469440460205,0.9603474140167236,14.893530557552973,0.997376,1.26877675e-14,0.0,1.9898332,-0.029629719,-0.026382228,0.005237324,-0.2570359,0.5666695,-0.055664062,-0.2601528,0.57736754
0.0,0.99999917,0.1,42,0.0001,3.494720935821533,0.953748244792223,15.16805961728096,0.997312,8.184425e-15,0.0,1.819117,0.0015222672,0.0068829255,0.0071797753,-0.07102062,0.62293446,0.140625,-0.082609214,0.5936323
-1.4901161e-08,0.99999917,0.1,43,0.0001,3.251492500305176,0.9650844596326351,14.11238064368566,0.997248,1.0817736e-14,0.0,1.8813146,0.115781486,0.12209566,0.0081954915,-0.045963094,0.6677634,0.07910156,-0.04217834,0.6614597
9.313226e-09,0.9999995,0.1,44,0.0001,3.5082645416259766,0.9168968722224236,15.226842628584969,0.997184,9.965119e-15,0.0,1.8861747,-0.027169045,-0.012240298,0.016814921,0.09592608,0.70267534,0.23730469,0.07685124,0.7180629
5.5879354e-09,0.99999934,0.1,45,0.0001,3.5386674404144287,0.929603822529316,15.358799654576513,0.99712,1.2058063e-14,0.0,1.8738258,0.05029451,0.05985912,0.011438432,0.23304626,0.62384933,0.35742188,0.20088837,0.61190766
7.450581e-09,0.9999993,0.1,46,0.0001,3.6027681827545166,0.9373831674456596,15.637014682094255,0.997056,1.24934785e-14,0.0,2.0040174,0.031842597,0.04242093,0.0125823505,0.07484505,0.60210395,0.1796875,0.09879505,0.59901965
-3.7252903e-09,0.99999917,0.1,47,0.0001,3.669917583465576,0.9551095329225063,15.928461733791563,0.996992,1.3864777e-14,0.0,1.8186314,-0.04554681,-0.040779248,0.006586196,0.040372428,0.6037424,0.140625,0.049637493,0.5911863
0.0,0.99999946,0.1,48,0.0001,3.6476798057556152,0.8643373250961304,15.831943601369858,0.996928,8.902601e-15,0.0,1.8982482,0.08278251,0.093556866,0.012672612,0.033238135,0.512618,0.06640625,0.048948675,0.5149933
-3.7252903e-08,0.99999946,0.1,49,0.0001,3.6929147243499756,0.8990245684981346,16.028275713324547,0.996864,1.0096958e-14,0.0,1.7103205,0.018149227,0.033943996,0.017505087,0.44230753,0.6168472,0.4033203,0.3839328,0.593187
-7.450581e-09,0.99999946,0.1,50,0.0001,12.639036417007446,0.9073622897267342,54.85692889326148,0.9968,8.70224e-15,0.0,1.7824936,-0.101298384,-0.08582286,0.017258018,0.35591146,0.6296806,0.37695312,0.37552735,0.6002515
